online_order,book_table,rate,votes,rest_type,price,type,location
Yes,Yes,4.1,775,Casual Dining,800,Buffet,Banashankari
Yes,No,4.1,787,Casual Dining,800,Buffet,Banashankari
Yes,No,3.8,918,Cafe,800,Buffet,Banashankari
No,No,3.7,88,Quick Bites,300,Buffet,Banashankari
No,No,3.8,166,Casual Dining,600,Buffet,Banashankari
Yes,No,3.8,286,Casual Dining,600,Buffet,Banashankari
No,No,3.6,8,Casual Dining,800,Buffet,Banashankari
Yes,No,4.0,324,Cafe,700,Cafes,Banashankari
Yes,No,4.2,504,Cafe,550,Cafes,Banashankari
Yes,No,4.1,402,Cafe,500,Cafes,Banashankari
Yes,Yes,4.2,150,Cafe,600,Cafes,Banashankari
Yes,Yes,4.2,164,Cafe,500,Cafes,Banashankari
No,No,4.0,424,Cafe,450,Cafes,Banashankari
Yes,No,3.8,918,Cafe,800,Cafes,Banashankari
Yes,No,3.8,90,Cafe,650,Cafes,Banashankari
Yes,No,3.9,133,Cafe,800,Cafes,Banashankari
Yes,No,3.8,144,Cafe,700,Cafes,Banashankari
No,No,3.9,93,Cafe,300,Cafes,Banashankari
Yes,No,3.1,13,Cafe,400,Cafes,Banashankari
Yes,No,3.0,62,Cafe,400,Cafes,Banashankari
Yes,No,3.7,180,Cafe,500,Cafes,Banashankari
No,No,3.6,28,Cafe,900,Cafes,Banashankari
Yes,No,3.6,62,Quick Bites,600,Cafes,Banashankari
No,No,3.7,31,Cafe,300,Cafes,Banashankari
No,No,3.2,11,Cafe,600,Cafes,Banashankari
Yes,No,3.8,75,Cafe,200,Cafes,Banashankari
No,No,3.3,23,Cafe,550,Cafes,Banashankari
No,No,3.8,148,Casual Dining,550,Cafes,Banashankari
Yes,No,4.0,219,Cafe,600,Cafes,Banashankari
Yes,No,2.8,506,Quick Bites,500,Delivery,Banashankari
Yes,No,3.9,35,Delivery,500,Delivery,Banashankari
Yes,No,3.9,172,Delivery,750,Delivery,Banashankari
Yes,No,4.2,415,Quick Bites,500,Delivery,Banashankari
Yes,No,3.9,230,Delivery,650,Delivery,Banashankari
Yes,No,2.8,91,Quick Bites,400,Delivery,Banashankari
Yes,No,4.2,1647,Casual Dining,600,Delivery,Banashankari
Yes,No,4.0,17,Quick Bites,150,Delivery,Banashankari
Yes,No,3.8,133,Quick Bites,200,Delivery,Banashankari
No,No,3.9,28,Mess,300,Delivery,Banashankari
Yes,No,3.9,286,Quick Bites,500,Delivery,Banashankari
Yes,No,3.9,540,Quick Bites,800,Delivery,Banashankari
No,No,3.8,36,Delivery,400,Delivery,Banashankari
Yes,No,3.6,244,Quick Bites,300,Delivery,Banashankari
Yes,No,4.0,804,Casual Dining,450,Delivery,Banashankari
Yes,No,3.7,679,Casual Dining,850,Delivery,Banashankari
Yes,No,3.1,245,Quick Bites,300,Delivery,Banashankari
No,No,3.7,21,Quick Bites,450,Delivery,Banashankari
Yes,No,4.1,28,Quick Bites,150,Delivery,Banashankari
No,No,4.3,345,Dessert Parlor,400,Delivery,Banashankari
Yes,No,4.0,618,Casual Dining,750,Delivery,Banashankari
No,No,4.0,1047,Quick Bites,450,Delivery,Banashankari
Yes,No,3.9,627,Delivery,450,Delivery,Banashankari
Yes,No,3.8,104,Quick Bites,300,Delivery,Banashankari
Yes,Yes,4.2,354,Casual Dining,800,Delivery,Banashankari
No,No,3.6,55,Quick Bites,200,Delivery,Banashankari
Yes,No,3.7,17,Dessert Parlor,400,Delivery,Banashankari
No,No,4.2,244,Casual Dining,800,Delivery,Banashankari
Yes,Yes,3.6,163,Casual Dining,800,Delivery,Banashankari
Yes,No,3.8,58,Quick Bites,150,Delivery,Banashankari
No,Yes,4.0,808,Casual Dining,850,Delivery,Banashankari
No,No,3.7,78,Bakery,150,Delivery,Banashankari
Yes,No,3.6,34,Quick Bites,100,Delivery,Banashankari
No,No,4.1,868,Pub,1200,Delivery,Banashankari
